detect T,t_detect,keypoints,descr T,t_extract,matches,t_match,ttc_camera,ttc_lidar,t_total,imgNumber
BRISK,105.883,2952,SIFT,82.8463,2974,28.1198,18.0824,14.091,216.849,0003
BRISK,107.188,2855,SIFT,81.0221,2952,27.0078,17.0824,16.6894,215.217,0004
BRISK,106.949,2907,SIFT,82.0455,2855,26.7904,31.6084,15.9082,215.785,0005
BRISK,110.481,2886,SIFT,88.0125,2907,27.083,17.5157,12.6787,225.576,0006
BRISK,107.666,2886,SIFT,84.4359,2886,27.0896,13.9645,11.9844,219.192,0007
BRISK,108.597,2893,SIFT,81.1937,2886,27.2233,13.917,13.1241,217.014,0008
BRISK,110.391,2929,SIFT,85.4673,2893,27.2914,16.6075,13.0241,223.15,0009
BRISK,109.577,3023,SIFT,82.4133,2929,28.3859,12.8555,11.1746,220.376,0010
BRISK,111.679,3013,SIFT,85.4965,3023,29.1228,13.8038,12.8086,226.298,0011
BRISK,109.348,2949,SIFT,81.6519,3013,28.3361,11.5971,8.95978,219.336,0012
BRISK,110.65,3013,SIFT,80.9917,2949,26.6882,12.1179,9.96439,218.33,0013
BRISK,109.788,3023,SIFT,82.877,3013,29.4557,10.5202,9.59863,222.121,0014
BRISK,112.02,3073,SIFT,82.3407,3023,29.8552,13.1778,8.57352,224.216,0015
BRISK,111.953,3130,SIFT,85.5733,3073,30.6409,8.8011,9.51617,228.168,0016
BRISK,114.185,3136,SIFT,88.8023,3130,31.2609,10.8727,9.54658,234.248,0017
BRISK,112.33,3146,SIFT,88.1068,3136,31.6227,9.63969,8.3988,232.059,0018
ORB,11.0007,500,BRIEF,3.16953,500,1.05516,16.4808,12.5156,15.2254,0001
ORB,11.3202,500,BRIEF,3.08025,500,1.07052,16.969,12.6142,15.4709,0002
ORB,11.3001,500,BRIEF,3.18621,500,1.1854,30.925,14.091,15.6717,0003
ORB,11.4477,500,BRIEF,3.14838,500,1.06912,25.2172,16.6894,15.6652,0004
ORB,11.024,500,BRIEF,3.09344,500,1.04487,25.429,15.9082,15.1624,0005
ORB,11.4839,500,BRIEF,3.20248,500,1.08391,18.2578,12.6787,15.7703,0006
ORB,11.7083,500,BRIEF,3.14036,500,1.04525,40.0236,11.9844,15.8939,0007
ORB,11.4952,500,BRIEF,3.15459,500,1.02909,31.8478,13.1241,15.6788,0008
ORB,11.9224,500,BRIEF,2.97528,500,0.996304,271.325,13.0241,15.894,0009
ORB,11.8315,500,BRIEF,3.14316,500,1.05044,15.4348,11.1746,16.0251,0010
ORB,11.5855,500,BRIEF,3.21088,500,1.03081,10.4394,12.8086,15.8272,0011
ORB,12.0734,500,BRIEF,3.37311,500,1.08883,16.6093,8.95978,16.5353,0012
ORB,12.0309,500,BRIEF,3.31131,500,1.12628,10.7998,9.96439,16.4685,0013
ORB,11.6988,500,BRIEF,3.14525,500,1.07961,8.40597,9.59863,15.9237,0014
ORB,11.1978,500,BRIEF,3.08905,500,0.959707,10.5289,8.57352,15.2466,0015
ORB,11.3526,500,BRIEF,3.11172,500,1.06255,13.4955,9.51617,15.5268,0016
ORB,11.4684,500,BRIEF,3.20581,500,1.07288,17.2956,9.54658,15.7471,0017
ORB,12.2651,500,BRIEF,3.26158,500,1.15176,13.275,8.3988,16.6784,0018
ORB,13.625,500,ORB,26.4993,500,1.48128,24.7809,12.5156,41.6056,0001
ORB,13.5987,500,ORB,26.4164,500,1.20079,10.126,12.6142,41.2159,0002
ORB,13.3452,500,ORB,26.4345,500,1.16494,18.5308,14.091,40.9447,0003
ORB,13.6501,500,ORB,26.5663,500,1.42928,26.6829,16.6894,41.6456,0004
ORB,13.6799,500,ORB,26.7085,500,1.24361,25.7718,15.9082,41.632,0005
ORB,12.1469,500,ORB,21.9621,500,1.03426,10.7829,12.6787,35.1433,0006
ORB,11.1238,500,ORB,22.2174,500,1.00675,41.874,11.9844,34.348,0007
ORB,11.4025,500,ORB,22.5184,500,1.23054,10.9114,13.1241,35.1515,0008
ORB,13.2657,500,ORB,22.2839,500,1.04396,18.651,13.0241,36.5936,0009
ORB,11.5211,500,ORB,21.6759,500,1.30006,16.6469,11.1746,34.497,0010
ORB,12.0475,500,ORB,22.1955,500,1.40965,8.48098,12.8086,35.6527,0011
ORB,11.2112,500,ORB,21.9533,500,1.0227,30.9371,8.95978,34.1872,0012
ORB,11.8102,500,ORB,21.91,500,1.15843,9.26406,9.96439,34.8786,0013
ORB,11.0682,500,ORB,21.0555,500,0.970294,9.5359,9.59863,33.094,0014
ORB,11.7176,500,ORB,21.8468,500,1.13518,12.9444,8.57352,34.6996,0015
ORB,11.8648,500,ORB,22.3096,500,1.18635,9.65407,9.51617,35.3608,0016
ORB,11.4373,500,ORB,22.1358,500,1.09298,25.3838,9.54658,34.6661,0017
ORB,12.371,500,ORB,22.5266,500,1.14501,21.8102,8.3988,36.0426,0018
ORB,11.0447,500,FREAK,48.0659,154,0.408701,11.9371,12.5156,59.5193,0001
ORB,11.3492,500,FREAK,48.0409,156,0.431999,25.2016,12.6142,59.8221,0002
ORB,11.0494,500,FREAK,48.1713,175,0.408468,17.7441,14.091,59.6292,0003
ORB,11.4913,500,FREAK,48.1142,173,0.452763,11.2797,16.6894,60.0583,0004
ORB,11.1533,500,FREAK,47.7626,162,0.445533,52.139,15.9082,59.3614,0005
ORB,11.4477,500,FREAK,47.9647,173,0.378534,35.7942,12.6787,59.7909,0006
ORB,11.8278,500,FREAK,47.6928,179,0.412228,127.591,11.9844,59.9328,0007
ORB,11.9038,500,FREAK,47.9308,174,0.427194,9.38588,13.1241,60.2618,0008
ORB,11.6757,500,FREAK,48.0097,187,0.450301,13.3292,13.0241,60.1357,0009
ORB,11.9956,500,FREAK,48.2468,186,0.470262,-545.044,11.1746,60.7126,0010
ORB,11.655,500,FREAK,50.2102,190,0.429344,8.40781,12.8086,62.2946,0011
ORB,11.8807,500,FREAK,47.4495,192,0.386973,-inf,8.95978,59.7172,0012
ORB,11.6212,500,FREAK,47.4952,186,0.435128,7.03048,9.96439,59.5516,0013
ORB,11.6776,500,FREAK,48.0553,183,0.58831,55.7876,9.59863,60.3212,0014
ORB,11.7204,500,FREAK,47.706,192,0.445285,8.72363,8.57352,59.8717,0015
ORB,11.6167,500,FREAK,47.6396,186,0.424644,11.1021,9.51617,59.6809,0016
